title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,artist.gender,lyrics.ease.score
Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,6,3,78,F,106.47
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78,M,33.34
Friends (with BloodPopÂ®),Justin Bieber,canadian pop,2018,105,73,74,-5,30,62,189,0,4,77,M,121.22
My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76,M,99.63
Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,20,12,75,F,105.86
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13,32,191,56,12,75,M,73.64
Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8,73,215,19,7,75,F,108.19
Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74,F,98.11
Say Something,Justin Timberlake,dance pop,2018,97,63,71,-7,8,37,279,10,8,74,M,94.66
Chun-Li,Nicki Minaj,dance pop,2018,129,73,69,-5,11,48,192,28,37,73,F,105.76
Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11,21,341,3,3,72,M,97.7
Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8,91,197,2,33,72,M,89.34
Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,164,4,8,71,M,95.47
End Game,Taylor Swift,pop,2018,159,59,65,-6,11,15,245,1,6,70,F,96.38
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42,18,243,2,3,67,M,121.22
Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6,32,212,8,12,67,F,114.72
Walk On Water (feat. BeyoncÃ©),Eminem,detroit hip hop,2018,82,44,48,-10,64,62,304,81,24,65,M,96.89
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10,42,221,2,5,64,F,91.95
Filthy,Justin Timberlake,dance pop,2018,97,58,75,-6,25,65,294,4,14,62,M,106.87
Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57,F,90.46
Supplies,Justin Timberlake,dance pop,2018,120,55,79,-7,13,23,226,1,5,57,M,95.88
...Ready For It? - BloodPopÂ® Remix,Taylor Swift,pop,2018,160,84,58,-5,10,50,190,13,22,52,F,105.76
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9,76,182,5,8,44,F,107.38
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,58,4,97,F,107.99
SeÃ±orita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,4,3,95,M,38.05
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,93,M,105.15
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,-6,9,67,204,15,8,92,M,96.79
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8,55,198,12,19,86,M,96.72
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9,84,220,9,4,85,M,74.56
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81,-4,8,61,229,2,4,84,M,65.99
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70,-7,16,14,261,12,15,81,M,95.0
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,-5,36,91,162,13,5,78,M,66.5
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,-7,20,16,176,1,3,75,M,106.57
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75,-6,7,61,206,21,12,75,M,95.37
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60,-6,42,24,217,1,7,69,M,98.31
